"","Parameter","Stat","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual"
"1","E","Mean",0.866300527149655,0.799450790724483,0.245483340448607,12.9589221061378,0.069247332988159,2,1.32864500322097,3.34270999355807,1.50159307691774,0.120524140875614,2
"2","lnc","Mean",0.917923294038742,0.876884941058114,0.220474281430748,22.3674496506238,0.0419168647561202,2,1.75843714190197,2.48312571619605,0.642008799555722,0.0972178175448097,2
"3","Topt","Mean",0.968795745752956,0.953193618629435,0.268846788970579,62.0938246485893,0.0157257771571194,2,0.964994705781622,4.07001058843676,2.22889367179643,0.144557191879582,2
"4","E","Variance",0.966971709593503,0.950457564390254,0.0633366847608991,58.5541484401677,0.0166528031292799,2,6.7477025467511,-7.4954050935022,-9.33652201014253,0.00802307127300303,2
"5","lnc","Variance",0.945325971709769,0.917988957564653,0.0472824595558938,34.5804397909589,0.0277212479387568,2,7.9170037729956,-9.83400754599119,-11.6751244626315,0.00447126196330947,2
"6","Topt","Variance",0.928821500589921,0.893232250884882,0.758810686359279,26.0983726346554,0.0362461410765085,2,-3.18544794055997,12.3708958811199,10.5297789644796,1.15158731546608,2
