ID,Organism.ID,Sample,Notes 
Egala_Bart_1_23C,Egala_Bart_1,Sample,Messy
Egala_Bart_3_28C,Egala_Bart_3,Sample,Messy
Egala_Bart_6_23C,Egala_Bart_6,Sample,Low n (<30) and messy
Egala_Bart_7_28C,Egala_Bart_7,Sample,Messy
Egala_Bart_10_26C,Egala_Bart_10,Sample,Messy
Egala_Botel_1_26C,Egala_Botel_1,Sample,Low n (<30) and messy
Egala_Botel_1_30C,Egala_Botel_1,Sample,Low n (<30) and messy
Egala_Botel_2_20C,Egala_Botel_2,Sample,Low n (<30) and messy
Egala_Corm_7_26C,Egala_Corm_7,Sample,Messy
Egala_Corm_8_30C,Egala_Corm_8,Sample,Low n (<30) and messy
Egala_Corm_10_30C,Egala_Corm_10,Sample,Low n (<30) and messy
Egala_Espi_4_31C,Egala_Espi_4,Sample,Low n (<30) and messy
Egala_Espi_4_32C,Egala_Espi_4,Sample,Low n (<30) and messy
Egala_Espi_7_19C,Egala_Espi_7,Sample,Low n (<30) and messy
Egala_Ibbet_1_23C,Egala_Ibbet_1,Sample,Messy
Egala_Ibbet_1_28C,Egala_Ibbet_1,Sample,Messy
Egala_Ibbet_3_23C,Egala_Ibbet_3,Sample,Messy
Egala_Ibbet_3_26C,Egala_Ibbet_3,Sample,Low n (<30) and messy
Egala_Ibbet_3_28C,Egala_Ibbet_3,Sample,Messy
