island,site full name,Site ,lat_dec,lon_dec,t,temp
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,8/17/2017,21.94
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,8/18/2017,22.03
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,8/19/2017,22.19
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,8/20/2017,22.21
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,8/21/2017,23.15
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,8/22/2017,23.55
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,8/23/2017,24.3
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,8/24/2017,24.85
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,8/25/2017,24.86
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,8/26/2017,25.09
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,8/27/2017,24.97
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,8/28/2017,25.11
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,8/29/2017,25.12
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,8/30/2017,24.72
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,8/31/2017,24.38
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,9/1/2017,24.23
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,9/2/2017,23.53
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,9/3/2017,22.85
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,9/4/2017,22.82
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,9/5/2017,22.72
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,9/6/2017,22.73
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,9/7/2017,22.54
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,9/8/2017,22.48
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,9/9/2017,22.31
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,9/10/2017,22.09
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,9/11/2017,22.14
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,9/12/2017,22.39
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,9/13/2017,22.52
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,9/14/2017,22.7
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,9/15/2017,22.71
