island,site full name,Site,lat_dec,lon_dec,lat_grid,lon_grid,t,temp
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,"(0.54, 0.55)","(-90.74, -90.73)",8/17/2017,22.2225
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,"(0.54, 0.55)","(-90.74, -90.73)",8/18/2017,22.0565
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,"(0.54, 0.55)","(-90.74, -90.73)",8/19/2017,21.5285
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,"(0.54, 0.55)","(-90.74, -90.73)",8/20/2017,21.48925
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,"(0.54, 0.55)","(-90.74, -90.73)",8/21/2017,21.9995
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,"(0.54, 0.55)","(-90.74, -90.73)",8/22/2017,23.26725
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,"(0.54, 0.55)","(-90.74, -90.73)",8/23/2017,23.428
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,"(0.54, 0.55)","(-90.74, -90.73)",8/24/2017,24.35425
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,"(0.54, 0.55)","(-90.74, -90.73)",8/25/2017,24.53025
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,"(0.54, 0.55)","(-90.74, -90.73)",8/26/2017,24.95825
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,"(0.54, 0.55)","(-90.74, -90.73)",8/27/2017,25.00925
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,"(0.54, 0.55)","(-90.74, -90.73)",8/28/2017,24.964
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,"(0.54, 0.55)","(-90.74, -90.73)",8/29/2017,25.011
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,"(0.54, 0.55)","(-90.74, -90.73)",8/30/2017,24.983
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,"(0.54, 0.55)","(-90.74, -90.73)",8/31/2017,23.0255
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,"(0.54, 0.55)","(-90.74, -90.73)",9/1/2017,22.85175
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,"(0.54, 0.55)","(-90.74, -90.73)",9/2/2017,22.91025
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,"(0.54, 0.55)","(-90.74, -90.73)",9/3/2017,22.994
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,"(0.54, 0.55)","(-90.74, -90.73)",9/4/2017,22.528
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,"(0.54, 0.55)","(-90.74, -90.73)",9/5/2017,22.5415
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,"(0.54, 0.55)","(-90.74, -90.73)",9/6/2017,21.369
Pinta,Cabo_Ibbetson,Ibbet,0.543972,-90.732022,"(0.54, 0.55)","(-90.74, -90.73)",9/7/2017,21.31725
