t,temp,Location
3/30/2018 11:30,25.016,Bart
3/30/2018 12:00,24.798,Bart
3/30/2018 12:30,25.331,Bart
3/30/2018 13:00,24.243,Bart
3/30/2018 13:30,24.05,Bart
3/30/2018 14:00,24.195,Bart
3/30/2018 14:30,24.098,Bart
3/30/2018 15:00,24.05,Bart
3/30/2018 15:30,24.122,Bart
3/30/2018 16:00,24.219,Bart
3/30/2018 16:30,23.93,Bart
3/30/2018 17:00,24.219,Bart
3/30/2018 17:30,24.026,Bart
3/30/2018 18:00,24.026,Bart
3/30/2018 18:30,25.21,Bart
3/30/2018 19:00,25.113,Bart
3/30/2018 19:30,24.919,Bart
3/30/2018 20:00,24.653,Bart
3/30/2018 20:30,24.823,Bart
3/30/2018 21:00,25.089,Bart
3/30/2018 21:30,25.113,Bart
3/30/2018 22:00,25.525,Bart
3/30/2018 22:30,25.501,Bart
3/30/2018 23:00,25.162,Bart
3/30/2018 23:30,24.895,Bart
3/31/2018 0:00,24.919,Bart
3/31/2018 0:30,24.919,Bart
3/31/2018 1:00,24.895,Bart
3/31/2018 1:30,24.871,Bart
3/31/2018 2:00,24.895,Bart
3/31/2018 2:30,24.75,Bart
3/31/2018 3:00,24.702,Bart
3/31/2018 3:30,24.677,Bart
3/31/2018 4:00,24.653,Bart
3/31/2018 4:30,23.665,Bart
3/31/2018 5:00,24.798,Bart
3/31/2018 5:30,24.847,Bart
3/31/2018 6:00,24.726,Bart
3/31/2018 6:30,24.847,Bart
3/31/2018 7:00,25.016,Bart
3/31/2018 7:30,25.065,Bart
3/31/2018 8:00,25.089,Bart
3/31/2018 8:30,25.089,Bart
3/31/2018 9:00,25.113,Bart
3/31/2018 9:30,25.21,Bart
3/31/2018 10:00,25.258,Bart
3/31/2018 10:30,25.283,Bart
3/31/2018 11:00,25.234,Bart
3/31/2018 11:30,25.38,Bart
3/31/2018 12:00,25.234,Bart
3/31/2018 12:30,25.113,Bart
3/31/2018 13:00,25.065,Bart
3/31/2018 13:30,25.137,Bart
3/31/2018 14:00,25.113,Bart
3/31/2018 14:30,24.871,Bart
3/31/2018 15:00,24.75,Bart
3/31/2018 15:30,24.315,Bart
3/31/2018 16:00,24.098,Bart
3/31/2018 16:30,24.243,Bart
3/31/2018 17:00,23.376,Bart
3/31/2018 17:30,23.352,Bart
3/31/2018 18:00,23.521,Bart
3/31/2018 18:30,24.823,Bart
3/31/2018 19:00,24.992,Bart
3/31/2018 19:30,24.847,Bart
3/31/2018 20:00,25.065,Bart
3/31/2018 20:30,25.137,Bart
3/31/2018 21:00,25.258,Bart
3/31/2018 21:30,25.307,Bart
3/31/2018 22:00,25.331,Bart
3/31/2018 22:30,24.895,Bart
3/31/2018 23:00,24.581,Bart
3/31/2018 23:30,24.557,Bart
4/1/2018 0:00,24.653,Bart
4/1/2018 0:30,24.122,Bart
4/1/2018 1:00,24.339,Bart
4/1/2018 1:30,24.074,Bart
4/1/2018 2:00,24.171,Bart
4/1/2018 2:30,22.441,Bart
4/1/2018 3:00,23.088,Bart
4/1/2018 3:30,23.857,Bart
4/1/2018 4:00,24.267,Bart
4/1/2018 4:30,24.002,Bart
4/1/2018 5:00,22.561,Bart
4/1/2018 5:30,23.232,Bart
4/1/2018 6:00,23.881,Bart
4/1/2018 6:30,23.641,Bart
4/1/2018 7:00,23.545,Bart
4/1/2018 7:30,23.593,Bart
4/1/2018 8:00,23.785,Bart
4/1/2018 8:30,23.545,Bart
4/1/2018 9:00,23.569,Bart
4/1/2018 9:30,23.954,Bart
4/1/2018 10:00,24.002,Bart
4/1/2018 10:30,24.171,Bart
4/1/2018 11:00,24.122,Bart
4/1/2018 11:30,24.05,Bart
4/1/2018 12:00,24.363,Bart
4/1/2018 12:30,24.195,Bart
4/1/2018 13:00,24.46,Bart
4/1/2018 13:30,24.122,Bart
4/1/2018 14:00,24.122,Bart
4/1/2018 14:30,24.098,Bart
4/1/2018 15:00,24.146,Bart
4/1/2018 15:30,23.184,Bart
4/1/2018 16:00,21.581,Bart
4/1/2018 16:30,24.002,Bart
4/1/2018 17:00,24.074,Bart
4/1/2018 17:30,23.497,Bart
4/1/2018 18:00,23.569,Bart
4/1/2018 18:30,23.352,Bart
4/1/2018 19:00,23.737,Bart
4/1/2018 19:30,23.593,Bart
4/1/2018 20:00,23.545,Bart
4/1/2018 20:30,23.569,Bart
4/1/2018 21:00,23.737,Bart
